file,x1,x2,y1,y2,c
A_0.jpg,1,259,1,64,0
A_1.jpg,1,158,1,64,0
A_10.jpg,1,264,1,64,0
A_100.jpg,1,93,1,115,0
A_1000.jpg,1,127,1,113,0
A_10000.jpg,1,165,1,61,0
A_10001.jpg,1,163,1,61,0
A_10002.jpg,1,195,1,61,0
A_10003.jpg,1,241,1,61,0
A_10004.jpg,1,178,1,61,0
A_10005.jpg,1,277,1,61,0
A_10006.jpg,1,270,1,64,0
A_10007.jpg,1,245,1,64,0
A_10008.jpg,1,192,1,64,0
A_10009.jpg,1,195,1,64,0
A_1001.jpg,1,138,1,113,0
A_10010.jpg,1,157,1,64,0
A_10011.jpg,1,208,1,64,0
A_10012.jpg,1,197,1,64,0
A_10013.jpg,1,260,1,135,0
A_10014.jpg,1,96,1,135,0
A_10015.jpg,1,267,1,135,0
A_10016.jpg,1,131,1,135,0
A_10017.jpg,1,110,1,135,0
A_10018.jpg,1,80,1,135,0
A_10019.jpg,1,74,1,135,0
A_1002.jpg,1,111,1,251,0
A_10020.jpg,1,257,1,135,0
A_10021.jpg,1,106,1,135,0
A_10022.jpg,1,294,1,135,0
A_10023.jpg,1,287,1,269,0
A_10024.jpg,1,265,1,269,0
A_10025.jpg,1,166,1,269,0
A_10026.jpg,1,257,1,269,0
A_10027.jpg,1,192,1,269,0
A_10028.jpg,1,243,1,269,0
A_10029.jpg,1,80,1,269,0
A_1003.jpg,1,261,1,251,0
A_10030.jpg,1,292,1,269,0
A_10031.jpg,1,129,1,269,0
A_10032.jpg,1,57,1,213,0
A_10033.jpg,1,150,1,213,0
A_10034.jpg,1,154,1,213,0
A_10035.jpg,1,168,1,213,0
A_10036.jpg,1,259,1,213,0
A_10037.jpg,1,111,1,213,0
A_10038.jpg,1,66,1,213,0
A_10039.jpg,1,49,1,213,0
A_1004.jpg,1,195,1,251,0
A_10040.jpg,1,164,1,213,0
A_10041.jpg,1,212,1,213,0
A_10042.jpg,1,180,1,311,0
A_10043.jpg,1,268,1,311,0
A_10044.jpg,1,71,1,311,0
A_10045.jpg,1,134,1,311,0
A_10046.jpg,1,54,1,311,0
A_10047.jpg,1,53,1,311,0
A_10048.jpg,1,133,1,311,0
A_10049.jpg,1,39,1,311,0
A_1005.jpg,1,121,1,251,0
A_10050.jpg,1,112,1,311,0
A_10051.jpg,1,133,1,311,0
A_10052.jpg,1,142,1,72,0
A_10053.jpg,1,259,1,72,0
A_10054.jpg,1,168,1,72,0
A_10055.jpg,1,149,1,72,0
A_10056.jpg,1,293,1,72,0
A_10057.jpg,1,164,1,72,0
A_10058.jpg,1,225,1,72,0
A_10059.jpg,1,166,1,72,0
A_1006.jpg,1,218,1,251,0
A_10060.jpg,1,205,1,72,0
A_10061.jpg,1,240,1,116,0
A_10062.jpg,1,129,1,116,0
A_10063.jpg,1,245,1,116,0
A_10064.jpg,1,247,1,116,0
A_10065.jpg,1,151,1,116,0
A_10066.jpg,1,190,1,116,0
A_10067.jpg,1,300,1,116,0
A_10068.jpg,1,138,1,116,0
A_10069.jpg,1,181,1,116,0
A_1007.jpg,1,149,1,251,0
A_10070.jpg,1,178,1,249,0
A_10071.jpg,1,239,1,249,0
A_10072.jpg,1,170,1,249,0
A_10073.jpg,1,74,1,249,0
A_10074.jpg,1,277,1,249,0
A_10075.jpg,1,49,1,249,0
A_10076.jpg,1,182,1,249,0
A_10077.jpg,1,145,1,249,0
A_10078.jpg,1,219,1,249,0
A_10079.jpg,1,185,1,249,0
A_1008.jpg,1,153,1,251,0
A_10080.jpg,1,61,1,249,0
A_10081.jpg,1,91,1,249,0
A_10082.jpg,1,190,1,215,0
A_10083.jpg,1,101,1,215,0
A_10084.jpg,1,99,1,215,0
A_10085.jpg,1,51,1,215,0
A_10086.jpg,1,227,1,215,0
A_10087.jpg,1,63,1,215,0
